LAST SEEN   TYPE      REASON              OBJECT                                    MESSAGE
47m         Normal    Killing             pod/juliojubiladoapi-78ffcdd46c-9gd2s     Stopping container app
47m         Normal    Killing             pod/juliopedidoapi-5f7798f7fc-gs29q       Stopping container app
47m         Normal    Started             pod/flyway-migrate-fd5w6                  Started container flyway
47m         Normal    Started             pod/sqlserver-init-nq62q                  Started container bootstrap
47m         Normal    NoPods              poddisruptionbudget/juliopedidoapi        No matching pods found
47m         Normal    Completed           job/sqlserver-init                        Job completed
47m         Normal    NoPods              poddisruptionbudget/juliojubiladoapi      No matching pods found
47m         Normal    Completed           job/flyway-migrate                        Job completed
47m         Normal    SuccessfulCreate    replicaset/juliopedidoapi-5f7798f7fc      Created pod: juliopedidoapi-5f7798f7fc-9ln8b
47m         Normal    ScalingReplicaSet   deployment/juliopedidoapi                 Scaled up replica set juliopedidoapi-5f7798f7fc from 0 to 1
42m         Warning   Unhealthy           pod/juliopedidoapi-5f7798f7fc-9ln8b       Startup probe failed: Get "http://10.244.0.68:8080/actuator/health/liveness": dial tcp 10.244.0.68:8080: connect: connection refused
37m         Warning   BackOff             pod/juliopedidoapi-5f7798f7fc-9ln8b       Back-off restarting failed container app in pod juliopedidoapi-5f7798f7fc-9ln8b_devops-trabalho-rubrica(35b5b51b-fcda-4aef-921a-07b84d767c37)
35m         Normal    SuccessfulCreate    replicaset/juliojubiladoapi-55b966965d    Created pod: juliojubiladoapi-55b966965d-jzw8q
35m         Normal    SuccessfulCreate    replicaset/juliojubiladoapi-55b966965d    Created pod: juliojubiladoapi-55b966965d-tshw9
35m         Normal    SuccessfulCreate    replicaset/juliojubiladoapi-55b966965d    Created pod: juliojubiladoapi-55b966965d-nnrpp
35m         Normal    ScalingReplicaSet   deployment/juliojubiladoapi               Scaled up replica set juliojubiladoapi-55b966965d from 0 to 4
35m         Normal    SuccessfulCreate    replicaset/juliopedidoapi-9f8c69b68       Created pod: juliopedidoapi-9f8c69b68-m4gqg
35m         Normal    ScalingReplicaSet   deployment/juliopedidoapi                 Scaled up replica set juliopedidoapi-9f8c69b68 from 0 to 1
35m         Normal    SuccessfulCreate    replicaset/juliojubiladoapi-55b966965d    Created pod: juliojubiladoapi-55b966965d-7n6r4
35m         Normal    Pulled              pod/juliojubiladoapi-55b966965d-jzw8q     Container image "local/juliojubiladoapi:ha-20260409" already present on machine
35m         Normal    Pulled              pod/juliopedidoapi-9f8c69b68-m4gqg        Container image "local/juliopedidoapi:ha-20260409" already present on machine
35m         Normal    Created             pod/juliojubiladoapi-55b966965d-jzw8q     Created container: app
35m         Normal    Created             pod/juliopedidoapi-9f8c69b68-m4gqg        Created container: app
35m         Normal    Started             pod/juliojubiladoapi-55b966965d-jzw8q     Started container app
35m         Normal    Started             pod/juliopedidoapi-9f8c69b68-m4gqg        Started container app
35m         Normal    Killing             pod/juliopedidoapi-5f7798f7fc-9ln8b       Container app failed startup probe, will be restarted
35m         Normal    Pulled              pod/juliopedidoapi-5f7798f7fc-9ln8b       Container image "local/juliopedidoapi:ha-20260409" already present on machine
35m         Normal    Created             pod/juliopedidoapi-5f7798f7fc-9ln8b       Created container: app
35m         Normal    Started             pod/juliopedidoapi-5f7798f7fc-9ln8b       Started container app
35m         Normal    ScalingReplicaSet   deployment/juliopedidoapi                 Scaled down replica set juliopedidoapi-5f7798f7fc from 1 to 0
35m         Normal    SuccessfulDelete    replicaset/juliopedidoapi-5f7798f7fc      Deleted pod: juliopedidoapi-5f7798f7fc-9ln8b
35m         Normal    Killing             pod/juliopedidoapi-5f7798f7fc-9ln8b       Stopping container app
35m         Normal    ScalingReplicaSet   deployment/juliopedidoapi                 Scaled up replica set juliopedidoapi-654696d9c from 0 to 1
35m         Normal    SuccessfulCreate    replicaset/juliopedidoapi-654696d9c       Created pod: juliopedidoapi-654696d9c-b56mf
35m         Normal    Pulled              pod/juliopedidoapi-654696d9c-b56mf        Container image "local/juliopedidoapi:ha-20260409" already present on machine
35m         Normal    Created             pod/juliopedidoapi-654696d9c-b56mf        Created container: app
35m         Normal    Started             pod/juliopedidoapi-654696d9c-b56mf        Started container app
